variant_id,node,degree,closeness,betweenness,flow_count,delta_asp
150,ManL3Switch,0.4,0.10013270185481567,0.0,5.0,0.8980908769105451
150,LonL3Switch,0.4,0.09862674341557355,0.0,5.0,0.8889001635991062
151,ManRouter,0.8,0.13891444373956124,2.0,9.0,1.160735596228963
151,LonRouter,0.8,0.13593697625545034,1.0,7.0,1.129932750942619
151,CenRouter,1.0,0.14686026394273263,4.0,13.0,1.2187112061883372
151,DnsRouter,0.6,0.1261787740400042,0.0,5.0,1.0129427617092668
151,ManL3Switch,0.4,0.10458093477396126,0.0,5.0,0.9123567039473774
151,LonL3Switch,0.4,0.1003640091930488,0.0,5.0,0.8876660995414744
152,ManRouter,0.8,0.14340652330322695,2.0,9.0,1.1376653959538
152,LonRouter,0.8,0.14094666045669998,1.0,7.0,1.1311058169126598
152,CenRouter,1.0,0.15566751394920178,4.0,13.0,1.2788346754667534
152,DnsRouter,0.6,0.12617815263351237,0.0,5.0,0.9876704126691883
152,ManL3Switch,0.4,0.11193535219012392,0.0,5.0,0.92248092667729
152,LonL3Switch,0.4,0.11041915014942869,0.0,5.0,0.9145508203838858
153,ManRouter,0.8,0.13676606105703593,2.0,9.0,1.1450576162488444
153,LonRouter,0.8,0.13212030559286128,1.0,7.0,1.1012407112896976
153,CenRouter,1.0,0.1504470393189508,3.0,11.0,1.2639435020714829
153,DnsRouter,0.6,0.1251902591308998,1.0,7.0,1.0110408352465914
153,ManL3Switch,0.4,0.108129741972205,0.0,5.0,0.9196512546402512
153,LonL3Switch,0.4,0.1105822030167667,0.0,5.0,0.9325220661399936
154,ManRouter,0.8,0.14323626937156886,1.0,7.0,1.109961406135944
154,LonRouter,0.8,0.15502666723465117,2.0,9.0,1.1966667347070128
154,CenRouter,1.0,0.15936670449171175,4.0,13.0,1.2055293686234199
154,DnsRouter,0.6,0.1264568197112664,0.0,5.0,0.9872770651234838
154,ManL3Switch,0.4,0.11066382837019186,0.0,5.0,0.9141056504875495
154,LonL3Switch,0.4,0.10396492254324148,0.0,5.0,0.8763539648621039
155,ManRouter,0.8,0.1430508226835299,1.0,7.0,1.1479146516700078
155,LonRouter,0.8,0.13918819727563697,2.0,9.0,1.127464655805695
155,CenRouter,1.0,0.1540074756117343,4.0,13.0,1.2458781585816958
155,DnsRouter,0.6,0.12248892486118546,0.0,5.0,0.9945357580654066
155,ManL3Switch,0.4,0.10005455772357226,0.0,5.0,0.8811998877512809
155,LonL3Switch,0.4,0.10386691634536784,0.0,5.0,0.903912489858917
156,ManRouter,0.8,0.15241302483475147,2.0,9.0,1.1392513117298169
